rating1,type,sentence1,modal2,reverse_sent_order,percent_window,rating2,workerid,rating_other,image,condition,sentence2,Answer.condition,Answer.time_in_minutes,modal1
0.08,aisleangry,You'll probably get an aisle seat,might,1,60,0.58,2,0.33999999999999997,./stim/images/prob_60_1.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.94,aisleangry,You'll probably get an aisle seat,might,1,0,0,2,0.06000000000000005,./stim/images/prob_0_5.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,1,90,0.29,2,0.7100000000000001,./stim/images/prob_90_5.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0,window_angry,You'll probably get a window seat,might,1,10,0.09,2,0.9099999999999999,./stim/images/prob_10_4.png,,You might get a window seat,undefined,14.425166666666666,probably
0.2,aisleangry,You'll probably get an aisle seat,might,1,40,0.61,2,0.18999999999999995,./stim/images/prob_40_3.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.7499999999999999,window_angry,You'll probably get a window seat,might,1,100,0.25,2,1.1102230246251565e-16,./stim/images/prob_100_1.png,,You might get a window seat,undefined,14.425166666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,1,100,0,2,1,./stim/images/prob_100_3.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.13,aisleangry,You'll probably get an aisle seat,might,1,75,0.52,2,0.35,./stim/images/prob_75_5.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.17,window_angry,You'll probably get a window seat,might,1,50,0.55,2,0.2799999999999999,./stim/images/prob_50_1.png,,You might get a window seat,undefined,14.425166666666666,probably
0.76,aisleangry,You'll probably get an aisle seat,might,1,10,0.15,2,0.08999999999999986,./stim/images/prob_10_5.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.67,window_angry,You'll probably get a window seat,might,1,75,0.29,2,0.039999999999999925,./stim/images/prob_75_3.png,,You might get a window seat,undefined,14.425166666666666,probably
0.09,window_angry,You'll probably get a window seat,might,1,40,0.59,2,0.32000000000000006,./stim/images/prob_40_1.png,,You might get a window seat,undefined,14.425166666666666,probably
0.56,window_angry,You'll probably get a window seat,might,1,90,0.15,2,0.2899999999999999,./stim/images/prob_90_5.png,,You might get a window seat,undefined,14.425166666666666,probably
0,window_angry,You'll probably get a window seat,might,1,0,0,2,1,./stim/images/prob_0_4.png,,You might get a window seat,undefined,14.425166666666666,probably
0.86,aisleangry,You'll probably get an aisle seat,might,1,10,0.14,2,1.1102230246251565e-16,./stim/images/prob_10_1.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0,window_angry,You'll probably get a window seat,might,1,0,0,2,1,./stim/images/prob_0_4.png,,You might get a window seat,undefined,14.425166666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,1,90,0.04,2,0.96,./stim/images/prob_90_1.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.06,window_angry,You'll probably get a window seat,might,1,25,0.39,2,0.55,./stim/images/prob_25_3.png,,You might get a window seat,undefined,14.425166666666666,probably
0.96,aisleangry,You'll probably get an aisle seat,might,1,0,0.04,2,0,./stim/images/prob_0_5.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.1,aisleangry,You'll probably get an aisle seat,might,1,60,0.64,2,0.2599999999999999,./stim/images/prob_60_4.png,,You might get an aisle seat,undefined,14.425166666666666,probably
0.21000000000000008,test,,,,,0.5,3,,,angry,,undefined,9.135366666666666,
0,window_angry,You'll probably get a window seat,might,1,0,0,3,1,./stim/images/prob_0_1.png,,You might get a window seat,undefined,9.135366666666666,probably
0.23,aisleangry,You'll probably get an aisle seat,might,1,25,0.64,3,0.13,./stim/images/prob_25_5.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.1,aisleangry,You'll probably get an aisle seat,might,1,40,0.78,3,0.12,./stim/images/prob_40_5.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,1,100,0,3,1,./stim/images/prob_100_2.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.82,aisleangry,You'll probably get an aisle seat,might,1,25,0.08,3,0.10000000000000009,./stim/images/prob_25_4.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.04999999999999982,aisleangry,You'll probably get an aisle seat,might,1,75,0.64,3,0.31,./stim/images/prob_75_3.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,1,90,0.79,3,0.20999999999999996,./stim/images/prob_90_5.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.09,window_angry,You'll probably get a window seat,might,1,40,0.75,3,0.16000000000000003,./stim/images/prob_40_1.png,,You might get a window seat,undefined,9.135366666666666,probably
0.88,aisleangry,You'll probably get an aisle seat,might,1,0,0.09,3,0.029999999999999916,./stim/images/prob_0_2.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.010000000000000009,aisleangry,You'll probably get an aisle seat,might,1,75,0.66,3,0.33,./stim/images/prob_75_5.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.1,aisleangry,You'll probably get an aisle seat,might,1,50,0.74,3,0.15999999999999992,./stim/images/prob_50_4.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0,window_angry,You'll probably get a window seat,might,1,0,0,3,1,./stim/images/prob_0_4.png,,You might get a window seat,undefined,9.135366666666666,probably
0.09,window_angry,You'll probably get a window seat,might,1,50,0.82,3,0.09000000000000008,./stim/images/prob_50_3.png,,You might get a window seat,undefined,9.135366666666666,probably
0.07,window_angry,You'll probably get a window seat,might,1,25,0.83,3,0.10000000000000009,./stim/images/prob_25_2.png,,You might get a window seat,undefined,9.135366666666666,probably
0.89,window_angry,You'll probably get a window seat,might,1,100,0.10999999999999988,3,0,./stim/images/prob_100_5.png,,You might get a window seat,undefined,9.135366666666666,probably
0,window_angry,You'll probably get a window seat,might,1,10,0.74,3,0.2599999999999999,./stim/images/prob_10_2.png,,You might get a window seat,undefined,9.135366666666666,probably
0.85,window_angry,You'll probably get a window seat,might,1,90,0.13,3,0.020000000000000018,./stim/images/prob_90_5.png,,You might get a window seat,undefined,9.135366666666666,probably
0.9,aisleangry,You'll probably get an aisle seat,might,1,10,0.09,3,0.01000000000000012,./stim/images/prob_10_3.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.11999999999999988,window_angry,You'll probably get a window seat,might,1,60,0.65,3,0.23,./stim/images/prob_60_4.png,,You might get a window seat,undefined,9.135366666666666,probably
0,window_angry,You'll probably get a window seat,might,1,10,0.68,3,0.31999999999999995,./stim/images/prob_10_1.png,,You might get a window seat,undefined,9.135366666666666,probably
0.64,window_angry,You'll probably get a window seat,might,1,75,0.35,3,0.010000000000000009,./stim/images/prob_75_2.png,,You might get a window seat,undefined,9.135366666666666,probably
0.7,window_angry,You'll probably get a window seat,might,1,60,0.28,3,0.019999999999999907,./stim/images/prob_60_5.png,,You might get a window seat,undefined,9.135366666666666,probably
0.8,window_angry,You'll probably get a window seat,might,1,75,0.17,3,0.030000000000000027,./stim/images/prob_75_3.png,,You might get a window seat,undefined,9.135366666666666,probably
0.05999999999999994,window_angry,You'll probably get a window seat,might,1,25,0.78,3,0.16,./stim/images/prob_25_2.png,,You might get a window seat,undefined,9.135366666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,1,90,0.67,3,0.33000000000000007,./stim/images/prob_90_2.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.89,aisleangry,You'll probably get an aisle seat,might,1,0,0,3,0.10999999999999988,./stim/images/prob_0_1.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0,window_angry,You'll probably get a window seat,might,1,50,0.62,3,0.3799999999999999,./stim/images/prob_50_2.png,,You might get a window seat,undefined,9.135366666666666,probably
0.19,aisleangry,You'll probably get an aisle seat,might,1,40,0.77,3,0.040000000000000036,./stim/images/prob_40_4.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.91,window_angry,You'll probably get a window seat,might,1,90,0,3,0.09000000000000008,./stim/images/prob_90_4.png,,You might get a window seat,undefined,9.135366666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,1,60,0.77,3,0.22999999999999998,./stim/images/prob_60_3.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,1,100,0,3,1,./stim/images/prob_100_3.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.93,window_angry,You'll probably get a window seat,might,1,100,0,3,0.06999999999999995,./stim/images/prob_100_3.png,,You might get a window seat,undefined,9.135366666666666,probably
0.03,aisleangry,You'll probably get an aisle seat,might,1,50,0.82,3,0.15000000000000013,./stim/images/prob_50_3.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0.87,aisleangry,You'll probably get an aisle seat,might,1,10,0.13000000000000012,3,0,./stim/images/prob_10_2.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0,aisleangry,You'll probably get an aisle seat,might,1,60,0.82,3,0.18000000000000005,./stim/images/prob_60_2.png,,You might get an aisle seat,undefined,9.135366666666666,probably
0,window_angry,You'll probably get a window seat,might,1,40,0.75,3,0.2500000000000001,./stim/images/prob_40_2.png,,You might get a window seat,undefined,9.135366666666666,probably
0.15,test,,,,,0.8500000000000001,4,,,angry,,undefined,16.790966666666666,
0.65,aisleangry,You'll probably get an aisle seat,might,1,100,0,4,0.35,./stim/images/prob_100_3.png,,You might get an aisle seat,undefined,16.790966666666666,probably
0.6,window_angry,You'll probably get a window seat,might,1,0,0.3999999999999999,4,1.1102230246251565e-16,./stim/images/prob_0_5.png,,You might get a window seat,undefined,16.790966666666666,probably
0.3700000000000001,aisleangry,You'll probably get an aisle seat,might,1,75,0.5299999999999999,4,0.09999999999999987,./stim/images/prob_75_3.png,,You might get an aisle seat,undefined,16.790966666666666,probably
0.65,aisleangry,You'll probably get an aisle seat,might,1,75,0.34,4,0.010000000000000009,./stim/images/prob_75_4.png,,You might get an aisle seat,undefined,16.790966666666666,probably
0.27,window_angry,You'll probably get a window seat,might,1,10,0.5900000000000001,4,0.14,./stim/images/prob_10_5.png,,You might get a window seat,undefined,16.790966666666666,probably
0.8,aisleangry,You'll probably get an aisle seat,might,1,0,0.19999999999999984,4,0,./stim/images/prob_0_2.png,,You might get an aisle seat,undefined,16.790966666666666,probably
0.18000000000000005,window_angry,You'll probably get a window seat,might,1,25,0.52,4,0.30000000000000004,./stim/images/prob_25_4.png,,You might get a window seat,undefined,16.790966666666666,probably
0.98,window_angry,You'll probably get a window seat,might,1,100,0.020000000000000018,4,1.1102230246251565e-16,./stim/images/prob_100_2.png,,You might get a window seat,undefined,16.790966666666666,probably
0.52,window_angry,You'll probably get a window seat,might,1,40,0.44,4,0.040000000000000036,./stim/images/prob_40_3.png,,You might get a window seat,undefined,16.790966666666666,probably
0.76,aisleangry,You'll probably get an aisle seat,might,1,10,0.2400000000000001,4,0,./stim/images/prob_10_4.png,,You might get an aisle seat,undefined,16.790966666666666,probably
0.71,aisleangry,You'll probably get an aisle seat,might,1,25,0.29000000000000004,4,0,./stim/images/prob_25_3.png,,You might get an aisle seat,undefined,16.790966666666666,probably
0.5,window_angry,You'll probably get a window seat,might,1,60,0.43,4,0.07000000000000006,./stim/images/prob_60_4.png,,You might get a window seat,undefined,16.790966666666666,probably
0.6,window_angry,You'll probably get a window seat,might,1,50,0.32,4,0.08000000000000007,./stim/images/prob_50_2.png,,You might get a window seat,undefined,16.790966666666666,probably
0.56,window_angry,You'll probably get a window seat,might,1,75,0.39,4,0.04999999999999982,./stim/images/prob_75_3.png,,You might get a window seat,undefined,16.790966666666666,probably
0.32,window_angry,You'll probably get a window seat,might,1,10,0.59,4,0.09000000000000008,./stim/images/prob_10_5.png,,You might get a window seat,undefined,16.790966666666666,probably
0.36,aisleangry,You'll probably get an aisle seat,might,1,40,0.47,4,0.17000000000000015,./stim/images/prob_40_1.png,,You might get an aisle seat,undefined,16.790966666666666,probably
0.5300000000000001,aisleangry,You'll probably get an aisle seat,might,1,10,0.47,4,1.1102230246251565e-16,./stim/images/prob_10_1.png,,You might get an aisle seat,undefined,16.790966666666666,probably
