request,workerid,order,prob_rating,audio,catch_trial,mood,condtion,modal,text,check1,image,check2,seat
./stim/text/text-1.png,3,0,0.99,./stim/audio/angry_bare_s1.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_7.png,a window seat (red)
./stim/text/text-1.png,4,0,1,./stim/audio/angry_probably1_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_6.png,./stim/images/exposure_90_6.png,./stim/images/exposure_25_6.png,a window seat (red)
./stim/text/text-1.png,4,0,0.86,./stim/audio/angry_might1_s2.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_60_4.png,./stim/images/exposure_60_4.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,4,1,0.53,./stim/audio/angry_probably2_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_75_4.png,./stim/images/exposure_10_4.png,./stim/images/exposure_10_4.png,an aisle seat (blue)
./stim/text/text-2.png,4,1,0.75,./stim/audio/angry_might2_s2.mp3,1,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_8.png,./stim/images/exposure_40_8.png,an aisle seat (blue)
./stim/text/text-2.png,4,1,0.52,./stim/audio/angry_probably2_s2.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_75_8.png,./stim/images/exposure_10_8.png,./stim/images/exposure_10_8.png,an aisle seat (blue)
./stim/text/text-1.png,4,0,0.85,./stim/audio/angry_probably1_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_4.png,./stim/images/exposure_90_4.png,./stim/images/exposure_25_4.png,a window seat (red)
./stim/text/text-1.png,4,1,0.99,./stim/audio/angry_bare_s2.mp3,1,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_8.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,4,1,1,./stim/audio/angry_bare_s2.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_4.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,4,1,0.76,./stim/audio/angry_might2_s2.mp3,0,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_6.png,./stim/images/exposure_40_6.png,an aisle seat (blue)
./stim/text/text-1.png,4,0,0.91,./stim/audio/angry_probably1_s2.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_8.png,./stim/images/exposure_90_8.png,./stim/images/exposure_25_8.png,a window seat (red)
./stim/text/text-1.png,4,0,0.73,./stim/audio/angry_might1_s2.mp3,1,pessimist,3,might,You might get one.,./stim/images/exposure_60_8.png,./stim/images/exposure_60_8.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,4,0,1,./stim/audio/angry_bare_s2.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_6.png,a window seat (red)
./stim/text/text-2.png,4,1,0.73,./stim/audio/angry_might2_s2.mp3,0,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_4.png,./stim/images/exposure_40_4.png,an aisle seat (blue)
./stim/text/text-1.png,5,1,1,./stim/audio/angry_probably1_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_1.png,./stim/images/exposure_90_1.png,./stim/images/exposure_90_1.png,a window seat (red)
./stim/text/text-1.png,5,1,1,./stim/audio/angry_probably1_s1.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_6.png,./stim/images/exposure_90_6.png,./stim/images/exposure_90_6.png,a window seat (red)
./stim/text/text-1.png,5,1,0.99,./stim/audio/angry_probably1_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_25_8.png,./stim/images/exposure_90_8.png,./stim/images/exposure_90_8.png,a window seat (red)
./stim/text/text-2.png,5,0,0.26,./stim/audio/angry_might2_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_40_8.png,./stim/images/exposure_40_8.png,./stim/images/prob_100_1.png,an aisle seat (blue)
