order,seat,text,mood,image,modal,prob_rating,check2,request,check1,condtion,workerid,catch_trial,audio
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_8.png,probably,0.97,./stim/images/exposure_90_8.png,./stim/text/text-1.png,./stim/images/exposure_25_8.png,4,6,0,./stim/audio/control_probably1_s1.mp3
0,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_4.png,probably,0.95,./stim/images/exposure_25_4.png,./stim/text/text-1.png,./stim/images/exposure_90_4.png,4,6,0,./stim/audio/control_probably1_s1.mp3
1,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_4.png,probably,0.96,./stim/images/exposure_10_4.png,./stim/text/text-2.png,./stim/images/exposure_75_4.png,4,6,0,./stim/audio/control_probably2_s1.mp3
0,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_4.png,might,0.84,./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_4.png,4,6,0,./stim/audio/control_might2_s1.mp3
1,a window seat (red),You might get one.,control,./stim/images/exposure_60_4.png,might,0.85,./stim/images/exposure_60_4.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,6,0,./stim/audio/control_might1_s1.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.99,./stim/images/exposure_60_8.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,6,0,./stim/audio/control_bare_s1.mp3
0,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_8.png,might,0.65,./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_8.png,4,6,0,./stim/audio/control_might2_s1.mp3
1,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.98,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_4.png,4,6,0,./stim/audio/control_bare_s1.mp3
1,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_8.png,probably,0.83,./stim/images/exposure_10_8.png,./stim/text/text-2.png,./stim/images/exposure_75_8.png,4,7,1,./stim/audio/control_probably2_s2.mp3
1,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.8,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_8.png,4,7,1,./stim/audio/control_bare_s2.mp3
0,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_8.png,probably,0.46,./stim/images/exposure_25_8.png,./stim/text/text-1.png,./stim/images/exposure_90_8.png,4,7,1,./stim/audio/control_probably1_s2.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_8.png,might,0.62,./stim/images/exposure_40_8.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,7,1,./stim/audio/control_might2_s2.mp3
1,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.67,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_2.png,4,7,0,./stim/audio/control_bare_s2.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.84,./stim/images/exposure_60_6.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,7,0,./stim/audio/control_bare_s2.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_2.png,might,0.78,./stim/images/exposure_40_2.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,7,0,./stim/audio/control_might2_s2.mp3
0,a window seat (red),You might get one.,control,./stim/images/exposure_60_2.png,might,0.73,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_2.png,4,7,0,./stim/audio/control_might1_s2.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_6.png,might,0.49,./stim/images/exposure_40_6.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,7,0,./stim/audio/control_might2_s2.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_2.png,probably,0.64,./stim/images/exposure_90_2.png,./stim/text/text-1.png,./stim/images/exposure_25_2.png,4,7,0,./stim/audio/control_probably1_s2.mp3
1,an aisle seat (blue),You'll probably get one.,control,./stim/images/exposure_10_2.png,probably,0.8,./stim/images/exposure_10_2.png,./stim/text/text-2.png,./stim/images/exposure_75_2.png,4,7,0,./stim/audio/control_probably2_s2.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_6.png,probably,0.77,./stim/images/exposure_90_6.png,./stim/text/text-1.png,./stim/images/exposure_25_6.png,4,7,0,./stim/audio/control_probably1_s2.mp3
0,a window seat (red),You might get one.,control,./stim/images/exposure_60_8.png,might,0.8,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_8.png,4,7,1,./stim/audio/control_might1_s2.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_1.png,probably,0.89,./stim/images/exposure_90_1.png,./stim/text/text-1.png,./stim/images/exposure_25_1.png,4,8,0,./stim/audio/control_probably1_s2.mp3
0,a window seat (red),You'll get one.,control,./stim/images/prob_100_1.png,bare,0.99,./stim/images/exposure_60_6.png,./stim/text/text-1.png,./stim/images/prob_100_1.png,4,8,1,./stim/audio/control_bare_s2.mp3
0,a window seat (red),You might get one.,control,./stim/images/exposure_60_8.png,might,0.51,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_8.png,4,8,0,./stim/audio/control_might1_s2.mp3
0,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_8.png,might,0.35,./stim/images/prob_100_1.png,./stim/text/text-2.png,./stim/images/exposure_40_8.png,4,8,0,./stim/audio/control_might2_s2.mp3
0,a window seat (red),You might get one.,control,./stim/images/exposure_60_6.png,might,0.51,./stim/images/prob_100_1.png,./stim/text/text-1.png,./stim/images/exposure_60_6.png,4,8,1,./stim/audio/control_might1_s2.mp3
1,a window seat (red),You'll probably get one.,control,./stim/images/exposure_90_8.png,probably,0.87,./stim/images/exposure_90_8.png,./stim/text/text-1.png,./stim/images/exposure_25_8.png,4,8,0,./stim/audio/control_probably1_s2.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_1.png,might,0.41,./stim/images/exposure_40_1.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,8,0,./stim/audio/control_might2_s2.mp3
1,an aisle seat (blue),You might get one.,control,./stim/images/exposure_40_6.png,might,0.33,./stim/images/exposure_40_6.png,./stim/text/text-2.png,./stim/images/prob_100_1.png,4,8,1,./stim/audio/control_might2_s2.mp3
